Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note,Amount,Currency,Account
12/14/2021 10:33,CUB - online payment,Food,,Milk with bharath,65,Expense,,65,INR,65
12/12/2021 21:47,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,INR,25
12/11/2021 9:22,CUB - online payment,Allowance,,From dad,1000,Income,,1000,INR,1000
12/11/2021 8:20,CUB - online payment,Other,,From stu,240,Income,,240,INR,240
12/10/2021 21:38,CUB - online payment,Food,,Shopping,241,Expense,,241,INR,241
12/10/2021 20:55,CUB - online payment,Food,,Momos,195,Expense,,195,INR,195
12/9/2021 20:03,CUB - online payment,Food,,Snack with bharath,40,Expense,,40,INR,40
12/9/2021 14:01,CUB - online payment,Food,,Lunch with company,280,Expense,,280,INR,280
12/9/2021 9:56,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,INR,25
12/9/2021 8:47,CUB - online payment,Food,,Breakfast with stu,110,Expense,,110,INR,110
12/8/2021 14:15,CUB - online payment,Food,,Lunch with stu,100,Expense,,100,INR,100
12/8/2021 14:15,Cash,Food,,5 star,1120.72,Expense,,15,USD,15
12/8/2021 7:17,CUB - online payment,Food,,Milk,10,Expense,,10,INR,10
12/7/2021 9:54,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,INR,25
12/7/2021 7:59,CUB - online payment,Food,,Horlicks,15,Expense,,15,INR,15
12/6/2021 21:59,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,INR,25
12/6/2021 20:07,CUB - online payment,Apparel,,Shoe,500,Expense,,500,INR,500
12/6/2021 19:57,CUB - online payment,Apparel,,Cap,140,Expense,,140,INR,140
12/6/2021 14:08,CUB - online payment,Food,,Lunch with stu,150,Expense,,150,INR,150
12/5/2021 19:45,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,INR,25
12/5/2021 18:41,CUB - online payment,Apparel,,Full hand and a hoodie,1800,Expense,,1800,INR,1800
12/5/2021 12:23,CUB - online payment,Household,,Rent,4800,Expense,,4800,INR,4800
12/5/2021 12:23,CUB - online payment,Allowance,,From dad,8000,Income,,8000,INR,8000
12/4/2021 21:05,CUB - online payment,Food,,Dinner,324,Expense,,324,INR,324
12/4/2021 20:20,CUB - online payment,Food,,Snack,65,Expense,,65,INR,65
12/4/2021 13:54,CUB - online payment,Other,,For company,30,Expense,,30,INR,30
12/4/2021 10:13,CUB - online payment,Food,,Breakfast,200,Expense,,200,INR,200
12/3/2021 21:59,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,INR,25
12/3/2021 21:59,CUB - online payment,Apparel,,Belt,130,Expense,,130,INR,130
12/3/2021 21:28,CUB - online payment,Apparel,,Mask,20,Expense,,20,INR,20
12/3/2021 21:28,CUB - online payment,Food,,Snack,40,Expense,,40,INR,40
12/3/2021 21:28,CUB - online payment,Allowance,,From dad,1000,Income,,1000,INR,1000
12/2/2021 20:07,CUB - online payment,Food,,Ice cream,504,Expense,,504,INR,504
12/2/2021 19:48,CUB - online payment,Food,,Vadapaav,75,Expense,,75,INR,75
12/1/2021 19:57,CUB - online payment,Beauty,,Showergel,196,Expense,,196,INR,196
12/1/2021 14:00,CUB - online payment,Food,,Lunch with company,160,Expense,,160,INR,160
